title,runtime,rating,profit
Toy Story 4,100,8.4,$178.99M
Men in Black: International,114,5.7,$58.48M
Game of Thrones,57,9.4,"1,558,231"
Avengers: Endgame,181,8.7,$835.78M
Dark Phoenix,113,6.1,$61.88M
Aladdin,128,7.4,$296.52M
Spider-Man: Far from Home,129,8.3,"1,516"
Godzilla: King of the Monsters,132,6.6,$104.53M
Captain Marvel,123,7.0,$426.79M
Shingeki no kyojin,24,8.8,"122,590"
The Lion King,118,,
Swamp Thing,60,8.4,"6,296"
The Secret Life of Pets 2,86,6.6,$124.11M
Ralph Breaks the Internet,112,7.1,$201.09M
Dumbo,112,6.5,$114.34M
Vikings,44,8.6,"345,113"
Agents of S.H.I.E.L.D.,45,7.5,"183,843"
Trolls 2,,,
Pok̩mon Detective Pikachu,104,6.8,$142.28M
The Flash,43,7.8,"278,350"
Arrow,42,7.6,"381,400"
Frozen II,,,
Toy Story,81,8.3,$191.80M
Toy Story 3,103,8.3,$415.00M
Alita: Battle Angel,122,7.5,$85.71M
The Boys,60,,
Doctor Who,45,8.7,"184,480"
Men in Black 3,106,6.8,$179.02M
Avengers: Infinity War,149,8.5,$678.82M
Star Wars: The Rise of Skywalker,,,
Spider-Man: Into the Spider-Verse,117,8.5,$190.24M
Men in Black,98,7.3,$250.69M
Spider-Man: Homecoming,133,7.5,$334.20M
The Umbrella Academy,60,8.1,"72,943"
Doom Patrol,60,8.2,"15,060"
Aquaman,143,7.1,$335.06M
Fast & Furious Presents: Hobbs & Shaw,,,
Krypton,45,7.1,"11,735"
One Punch Man: Wanpanman,24,8.9,"86,588"
Rick and Morty,23,9.3,"278,351"
Deadpool 2,119,7.8,$324.59M
X-Men: Apocalypse,144,7.0,$155.44M
Supergirl,43,6.4,"97,433"
Shazam!,132,7.4,$140.02M
Wonder Woman 1984,,,
Lost,44,8.4,"458,144"
Terminator: Dark Fate,,,
Rim of the World,98,5.1,"11,833"
Toy Story 2,92,7.9,$245.85M
Thor: Ragnarok,130,7.9,$315.06M
The Lion King,88,8.5,$312.90M
Wonder Park,85,5.7,$45.22M
Charlie's Angels,,,
Ad Astra,,,
Guardians of the Galaxy Vol. 2,136,7.7,$389.81M
Star Trek: The Next Generation,44,8.6,"87,290"
Legends of Tomorrow,42,6.9,"81,235"
How to Train Your Dragon: The Hidden World,104,7.6,$160.80M
The Terror,60,8.1,"27,965"
Rambo: Last Blood,,,
Star Trek: Discovery,60,7.4,"71,220"
Once Upon a Time,60,7.8,"198,511"
The Punisher,53,8.6,"150,695"
Cyberpunk 2077,,,
Mission: Impossible - Fallout,147,7.8,$220.16M
Men in Black II,88,6.1,$190.42M
Baywatch,60,5.3,"22,748"
Titans,45,8.0,"39,055"
Deadpool,108,8.0,$363.07M
Blood & Treasure,60,6.2,"1,360"
The Secret Life of Pets,87,6.5,$368.38M
Guardians of the Galaxy,121,8.1,$333.18M
Interstellar,169,8.6,$188.02M
Ready Player One,140,7.5,$137.69M
Suicide Squad,123,6.0,$325.10M
X-Men: Days of Future Past,132,8.0,$233.92M
His Dark Materials,60,,
Black Panther,134,7.3,$700.06M
Harry Potter and the Sorcerer's Stone,152,7.6,$317.58M
