title,runtime,rating,profit
Toy Story 4,100,8.4,$178.99M
Shingeki no kyojin,24,8.8,"122,580"
The Lion King,118,,
The Secret Life of Pets 2,86,6.6,$124.11M
Ralph Breaks the Internet,112,7.1,$201.09M
Trolls 2,,,
Frozen II,,,
Toy Story,81,8.3,$191.80M
Toy Story 3,103,8.3,$415.00M
Spider-Man: Into the Spider-Verse,117,8.5,$190.24M
One Punch Man: Wanpanman,24,8.9,"86,578"
Rick and Morty,23,9.3,"278,330"
Toy Story 2,92,7.9,$245.85M
"Love, Death & Robots",15,8.7,"57,411"
The Lion King,88,8.5,$312.90M
Wonder Park,85,5.7,$45.22M
Archer,22,8.7,"124,510"
How to Train Your Dragon: The Hidden World,104,7.6,$160.80M
The Secret Life of Pets,87,6.5,$368.38M
Family Guy,22,8.2,"284,205"
The Simpsons,22,8.7,"334,786"
Aladdin,90,8.0,$217.35M
The Grinch,85,6.3,$270.62M
South Park,22,8.7,"301,955"
Incredibles 2,118,7.7,$608.58M
The Lego Movie 2: The Second Part,107,6.7,$105.81M
Avatar: The Last Airbender,23,9.2,"192,838"
BoJack Horseman,25,8.5,"71,320"
The Angry Birds Movie 2,,,
Sing,108,7.1,$270.40M
Bob's Burgers,22,8.1,"56,485"
Coco,105,8.4,$209.73M
Wreck-It Ralph,101,7.7,$189.42M
Big Mouth,30,8.1,"36,566"
Sen to Chihiro no kamikakushi,125,8.6,$10.06M
Frozen,102,7.5,$400.74M
American Dad!,22,7.4,"107,174"
Hercules,93,7.3,$99.05M
Moana,107,7.6,$248.76M
The Incredibles,115,8.0,$261.44M
Finding Nemo,100,8.1,$380.84M
The Queen's Corgi,85,4.9,"1,431"
Ratatouille,111,8.0,$206.45M
Onward,,,
Smallfoot,96,6.7,$83.24M
The Addams Family,,,
Space Jam 2,,,
Inside Out,95,8.2,$356.46M
SpongeBob SquarePants,23,8.1,"73,910"
Aggretsuko,15,8.0,"2,958"
Up,96,8.2,$293.00M
Batman vs Teenage Mutant Ninja Turtles,87,7.2,"3,809"
Hotel Transylvania 3: Summer Vacation,97,6.3,$167.51M
Boku no Hero Academia,24,8.4,"17,364"
Futurama,22,8.5,"196,502"
Shin Seiki Evangerion,624,8.6,"37,570"
Kimi no na wa.,106,8.4,$5.02M
Death Note: Desu nÃ´to,24,9.0,"186,862"
Zootopia,108,8.0,$341.27M
Mulan,88,7.6,$120.62M
Final Space,30,8.4,"21,308"
Isle of Dogs,101,7.9,$32.02M
Adventure Time with Finn & Jake,11,8.6,"66,285"
"Monsters, Inc.",92,8.1,$289.92M
Hagane no renkinjutsushi,24,9.0,"90,687"
Elton John: Rocket Man,5,7.8,522
Trolls,92,6.5,$153.71M
Cars,117,7.1,$244.08M
The Lego Batman Movie,104,7.3,$175.75M
JoJo no kimyÃ´-na bÃ´ken,30,8.4,"3,987"
A Scanner Darkly,100,7.1,$5.50M
Gravity Falls,23,8.9,"54,008"
Tangled,100,7.8,$200.82M
King of the Hill,30,7.3,"42,150"
How to Train Your Dragon,98,8.1,$217.58M
Despicable Me 3,89,6.3,$264.62M
Scoob,,,
Shrek,90,7.9,$267.67M
The Little Mermaid,83,7.6,$111.54M
The Emperor's New Groove,78,7.4,$89.30M
Hunter x Hunter,24,8.7,"35,911"
WALLÂ·E,98,8.4,$223.81M
The Legend of Korra,23,8.5,"86,154"
Sausage Party,89,6.2,$97.66M
One Piece: Wan pÃ®su,24,8.6,"56,578"
The Emoji Movie,86,3.2,$86.09M
Brave,93,7.1,$237.28M
Cars 3,102,6.8,$152.90M
A Bug's Life,95,7.2,$162.80M
Naruto: ShippÃ»den,24,8.4,"65,895"
Space Jam,88,6.4,$90.46M
Star Wars: The Clone Wars,23,8.1,"39,824"
Madagascar: Escape 2 Africa,89,6.7,$180.01M
Finding Dory,97,7.3,$486.30M
Castlevania,23,8.1,"24,233"
Big Hero 6,102,7.8,$222.53M
The Lego Movie,100,7.8,$257.76M
Spies in Disguise,,,
Nanatsu no taizai,24,8.2,"13,270"
DuckTales,21,8.2,"4,028"
The Princess and the Frog,97,7.1,$104.40M
Batman: The Animated Series,23,8.9,"75,585"
UglyDolls,87,4.5,$20.10M
Hauru no ugoku shiro,119,8.2,$4.71M
Gake no ue no Ponyo,101,7.7,$15.09M
Koe no katachi,130,8.2,"25,750"
Miraculous: Tales of Ladybug & Cat Noir,20,8.0,"3,648"
How to Train Your Dragon 2,102,7.8,$177.00M
Tarzan,88,7.3,$171.09M
Cats,,,
Young Justice,23,8.7,"27,575"
Mononoke-hime,134,8.4,$2.38M
Madagascar,86,6.9,$193.60M
Amphibia,,8.4,142
Beauty and the Beast,84,8.0,$218.97M
Shrek 2,93,7.2,$436.47M
Lilo & Stitch,85,7.2,$145.79M
Poketto monsutÃ¢,24,7.4,"33,783"
Hotel Transylvania,91,7.1,$148.31M
Pocahontas,81,6.7,$141.60M
Dragon Ball Z,24,8.7,"102,283"
Fairy Tail,24,8.1,"17,258"
Despicable Me,95,7.7,$251.51M
Rango,107,7.2,$123.48M
My Little Pony: Friendship Is Magic,22,7.7,"17,914"
The Amazing World of Gumball,11,8.2,"16,196"
The Boss Baby,97,6.3,$175.00M
Steven Universe,11,8.2,"21,181"
Coraline,100,7.7,$75.29M
Tuca & Bertie,26,7.4,"2,252"
KaubÃ´i bibappu,24,8.9,"76,075"
Disenchantment,30,7.2,"29,133"
Playmobil: The Movie,99,5.1,50
Abominable,,,
Kakegurui,24,7.1,"1,965"
Dumbo,64,7.3,$1.60M
Shark Tale,90,6.0,$160.86M
The Boondocks,22,8.4,"24,588"
Enchanted,107,7.1,$127.81M
Sword Art Online,24,7.7,"29,713"
Kung Fu Panda,92,7.6,$215.43M
The Good Dinosaur,93,6.7,$123.09M
Akira,124,8.1,$0.55M
Ferdinand,108,6.7,$84.41M
The Jungle Book,78,7.6,$141.84M
Batman: Hush,81,,
Star vs. the Forces of Evil,23,8.1,"8,506"
Hotaru no haka,89,8.5,"198,377"
F Is for Family,30,8.0,"21,587"
Who Framed Roger Rabbit,104,7.7,$156.45M
Naruto,24,8.3,"56,747"
Madagascar 3: Europe's Most Wanted,93,6.8,$216.39M
Peter Rabbit,95,6.6,$115.25M
Missing Link,94,7.0,$16.64M
Ice Age,81,7.5,$176.39M
Fantastic Mr. Fox,87,7.9,$21.00M
Teen Titans Go! To the Movies,84,6.8,$29.56M
Monsters University,104,7.3,$268.49M
Meet the Robinsons,95,6.9,$97.82M
Dororo,30,8.7,"1,764"
Bolt,96,6.8,$114.05M
Aladdin,30,7.3,"8,179"
Tonari no Totoro,86,8.2,"239,786"
Monster House,91,6.6,$73.66M
Beowulf,115,6.2,$82.16M
Angry Birds,97,6.3,$107.51M
AstÃ©rix: Le secret de la potion magique,85,6.8,$1.27M
Tokyo Ghoul,24,8.0,"26,257"
PAW Patrol,23,6.6,"1,484"
Cloudy with a Chance of Meatballs,90,7.0,$124.87M
Robot Chicken,11,7.8,"37,510"
Snow White and the Seven Dwarfs,83,7.6,$184.93M
Over the Garden Wall,110,8.9,"28,989"
Doragon bÃ´ru chÃ´: BurorÃ®,100,8.0,$30.71M
The Dragon Prince,26,8.3,"8,316"
Dragon Ball Super: Doragon bÃ´ru cho,24,8.2,"18,525"
Yakusoku no Neverland,30,8.9,"3,192"
Loving Vincent,94,7.8,$6.74M
The Lion King II: Simba's Pride,81,6.5,"53,411"
Sherlock Gnomes,86,5.1,$43.24M
Bee Movie,91,6.1,$126.63M
KÃ´kaku KidÃ´tai,83,8.0,$0.52M
Cars 2,106,6.2,$191.45M
The Hunchback of Notre Dame,91,6.9,$100.14M
High School DxD,23,7.7,"4,973"
Cinderella,74,7.3,$85.00M
The Nightmare Before Christmas,76,8.0,$75.08M
Megamind,95,7.3,$148.42M
The Croods,98,7.2,$187.17M
Star Wars: Rebels,22,8.0,"22,229"
Kimetsu no Yaiba,25,8.6,673
Steins;Gate,24,8.7,"33,327"
Phineas and Ferb,15,8.0,"28,524"
Tate no Yuusha no Nariagari,24,8.2,"1,460"
Black Clover,30,7.9,"2,217"
The Adventures of Tintin,107,7.3,$77.59M
The Lego Ninjago Movie,101,6.0,$59.28M
KÃ´do giasu: Hangyaku no rurÃ»shu,24,8.6,"40,838"
Bleach,24,8.2,"39,335"
The Book of Life,95,7.3,$50.15M
Storks,87,6.8,$72.68M
Anastasia,94,7.1,$58.41M
Ballerina,89,6.8,$24.48M
Watership Down,204,7.2,"3,737"
Boruto: Naruto Next Generations,23,7.4,"4,699"
Treasure Planet,95,7.2,$38.18M
Atlantis: The Lost Empire,95,6.9,$84.05M
Trollhunters,23,8.4,"10,376"
Ternet ninja,81,7.7,"1,896"
Regular Show,23,8.4,"25,786"
X-Men,23,8.5,"33,789"
Shrek the Third,93,6.1,$320.71M
Kung Fu Panda 2,90,7.2,$165.25M
The Prince of Egypt,99,7.1,$101.22M
The Loud House,22,7.4,"2,670"
Ice Age: Collision Course,94,5.7,$64.06M
Samurai Jack,25,8.4,"39,991"
Kung Fu Panda 3,95,7.1,$143.53M
Aladdin and the King of Thieves,81,6.4,"29,948"
Robots,91,6.3,$128.20M
Over the Hedge,83,6.7,$155.02M
"Shin seiki Evangelion GekijÃ´-ban: Air/Magokoro wo, kimi ni",90,8.2,"27,707"
The Return of Jafar,69,5.9,"23,899"
