title,runtime,rating,profit
Murder Mystery,97,6.0,"39,675"
Toy Story 4,100,8.4,$178.99M
Men in Black: International,114,5.7,$58.48M
Good Omens,60,8.4,"22,785"
Aladdin,128,7.4,$296.52M
Once Upon a Time ... in Hollywood,159,9.6,"6,564"
The Dead Don't Die,104,6.0,$5.36M
Yesterday,116,6.9,"3,246"
Always Be My Maybe,101,6.9,"24,187"
Friends,22,8.9,"681,682"
The Office,22,8.8,"300,707"
The Secret Life of Pets 2,86,6.6,$124.11M
Shaft,111,6.3,$17.42M
Ralph Breaks the Internet,112,7.1,$201.09M
GLOW,35,8.1,"30,820"
Brooklyn Nine-Nine,22,8.4,"153,570"
Booksmart,102,7.4,$20.98M
Dead to Me,30,8.2,"22,496"
The Big Bang Theory,22,8.2,"652,328"
Trolls 2,,,
Pok̩mon Detective Pikachu,104,6.8,$142.28M
Good Girls,43,7.9,"18,042"
Late Night,102,6.4,$11.98M
Catch-22,45,7.9,"6,385"
Fleabag,27,8.6,"24,402"
Frozen II,,,
Toy Story,81,8.3,$191.80M
Toy Story 3,103,8.3,$415.00M
Suits,44,8.5,"328,208"
The Boys,60,,
Happy!,60,8.3,"24,957"
Veronica Mars,44,8.4,"60,924"
Shameless,46,8.7,"171,568"
What We Do in the Shadows,30,8.4,"10,346"
Jane the Virgin,60,7.8,"30,004"
Men in Black 3,106,6.8,$179.02M
"Oh, Ramona!",109,5.0,"4,222"
Crazy Rich Asians,120,7.0,$174.53M
Parks and Recreation,22,8.6,"177,858"
Orange Is the New Black,59,8.1,"256,082"
The Beach Bum,95,5.7,$3.49M
Men in Black,98,7.3,$250.69M
Schitt's Creek,22,8.2,"17,919"
How I Met Your Mother,22,8.3,"543,796"
The Umbrella Academy,60,8.1,"72,943"
Doom Patrol,60,8.2,"15,060"
Fast & Furious Presents: Hobbs & Shaw,,,
Green Book,130,8.2,$85.08M
Modern Family,22,8.4,"313,853"
One Punch Man: Wanpanman,24,8.9,"86,588"
Rick and Morty,23,9.3,"278,351"
Deadpool 2,119,7.8,$324.59M
Shazam!,132,7.4,$140.02M
Bill & Ted Face the Music,,,
Sex Education,45,8.4,"67,815"
It's Always Sunny in Philadelphia,22,8.7,"171,313"
Rim of the World,98,5.1,"11,833"
Toy Story 2,92,7.9,$245.85M
L.A.'s Finest,60,5.6,"1,174"
Younger,22,7.8,"14,162"
Barry,30,8.3,"24,676"
Cobra Kai,30,8.8,"33,872"
Bones,40,7.9,"130,157"
"Love, Death & Robots",15,8.7,"57,424"
Thor: Ragnarok,130,7.9,$315.06M
Letterkenny,30,8.5,"6,804"
Fighting with My Family,108,7.2,$22.96M
Wonder Park,85,5.7,$45.22M
Mr. Iglesias,30,7.2,"1,633"
Charlie's Angels,,,
Vice,132,7.2,$47.84M
Guardians of the Galaxy Vol. 2,136,7.7,$389.81M
Long Shot,125,7.2,$30.32M
Archer,22,8.7,"124,513"
Psych,44,8.4,"77,614"
The Good Place,22,8.2,"61,778"
How to Train Your Dragon: The Hidden World,104,7.6,$160.80M
Easy,30,6.8,"9,002"
Year of the Rabbit,30,7.5,554
That '70s Show,22,8.1,"140,629"
Stuber,93,6.1,573
Two and a Half Men,22,7.1,"227,054"
Men in Black II,88,6.1,$190.42M
iZombie,42,7.9,"54,081"
Deadpool,108,8.0,$363.07M
Plus One,99,6.5,752
This Is Us,45,8.7,"77,496"
How to Sell Drugs Online (Fast),30,8.1,"6,938"
The Marvelous Mrs. Maisel,57,8.7,"44,739"
The Secret Life of Pets,87,6.5,$368.38M
Guardians of the Galaxy,121,8.1,$333.18M
Zombieland: Double Tap,,,
Seinfeld,22,8.8,"226,437"
Family Guy,22,8.2,"284,209"
Gilmore Girls,44,8.2,"87,185"
The Upside,126,6.7,$108.25M
The Simpsons,22,8.7,"334,788"
Community,22,8.5,"175,425"
Just Go with It,117,6.4,$103.03M
New Girl,22,7.7,"170,602"
The Orville,44,8.0,"49,733"
Arrested Development,22,8.8,"256,940"
Chef,114,7.3,$30.64M
Blazing Saddles,93,7.8,$119.50M
Good Trouble,45,7.5,"1,857"
Silicon Valley,28,8.5,"104,132"
Beats,101,7.6,599
Aladdin,90,8.0,$217.35M
Veep,28,8.3,"37,799"
Mamma Mia! Here We Go Again,114,6.7,$120.63M
Baywatch,116,5.6,$58.06M
A.P. Bio,21,7.2,"7,236"
Then Came You,97,7.0,"4,001"
Claws,45,7.3,"4,425"
Clue,94,7.3,$14.64M
The Grinch,85,6.3,$270.62M
The Dirt,107,7.0,"27,797"
Wine Country,103,5.5,"12,033"
Fast Times at Ridgemont High,90,7.2,$27.09M
Ocean's Eight,110,6.2,$139.38M
Frasier,22,8.1,"66,987"
South Park,22,8.7,"301,960"
Glee,44,6.8,"125,419"
The Lego Movie 2: The Second Part,107,6.7,$105.81M
Instant Family,118,7.4,$67.36M
Uncut Gems,,,
Kingsman: The Secret Service,129,7.7,$128.26M
The Goonies,114,7.8,$61.50M
Los Espookys,,7.2,310
Good Witch,48,7.3,"5,145"
Under the Silver Lake,139,6.4,$0.05M
BoJack Horseman,25,8.5,"71,325"
Jumanji: Welcome to the Jungle,119,7.0,$404.52M
Scott Pilgrim vs. the World,112,7.5,$31.49M
Mary Poppins Returns,130,6.9,$171.96M
