title,runtime,rating,profit
Murder Mystery,97,6.0,"39,675"
Game of Thrones,57,9.4,"1,558,231"
Aladdin,128,7.4,$296.52M
Outlander,64,8.5,"93,494"
Yesterday,116,6.9,"3,246"
Always Be My Maybe,101,6.9,"24,187"
Friends,22,8.9,"681,682"
Kabir Singh,173,8.1,"9,230"
Riverdale,45,7.3,"90,067"
Grey's Anatomy,41,7.6,"214,048"
Vikings,44,8.6,"345,113"
Little Women,,,
The Big Bang Theory,22,8.2,"652,328"
A Star Is Born,136,7.7,$215.29M
The Aftermath,108,6.3,$1.62M
Five Feet Apart,116,7.2,$45.73M
"Oh, Ramona!",109,5.0,"4,222"
Crazy Rich Asians,120,7.0,$174.53M
How I Met Your Mother,22,8.3,"543,796"
Modern Family,22,8.4,"313,853"
After,105,5.5,$12.14M
Downton Abbey,58,8.7,"142,801"
Younger,22,7.8,"14,162"
Bones,40,7.9,"130,157"
The Vampire Diaries,43,7.7,"262,652"
West Side Story,,,
Long Shot,125,7.2,$30.32M
Titanic,194,7.8,$659.33M
The Good Place,22,8.2,"61,778"
Tales of the City,360,8.7,"2,401"
Once Upon a Time,60,7.8,"198,511"
That '70s Show,22,8.1,"140,629"
Two and a Half Men,22,7.1,"227,054"
Baywatch,60,5.3,"22,748"
Pretty Little Liars,44,7.5,"142,962"
Plus One,99,6.5,752
You,45,7.8,"63,917"
This Is Us,45,8.7,"77,496"
How to Sell Drugs Online (Fast),30,8.1,"6,938"
Smallville,60,7.5,"109,186"
Just Go with It,117,6.4,$103.03M
Romeo and Juliet,138,7.6,$38.90M
Love,135,6.1,"37,198"
"Beverly Hills, 90210",44,6.3,"28,348"
True Blood,55,7.9,"219,411"
Spartacus: Blood and Sand,55,8.5,"206,290"
Buffy the Vampire Slayer,44,8.2,"118,561"
Good Trouble,45,7.5,"1,857"
Aladdin,90,8.0,$217.35M
Mamma Mia! Here We Go Again,114,6.7,$120.63M
Forrest Gump,142,8.8,$330.25M
Red Joan,101,6.2,$1.57M
Gossip Girl,42,7.4,"140,010"
Teen Wolf,41,7.7,"115,976"
Poldark,60,8.3,"21,024"
Call Me by Your Name,132,7.9,$18.10M
ER,44,7.8,"46,433"
Scott Pilgrim vs. the World,112,7.5,$31.49M
Isn't It Romantic,89,5.9,$48.79M
Castle,43,8.1,"133,037"
The Princess Bride,98,8.1,$30.86M
Fifty Shades of Grey,125,4.1,$166.17M
Masters of Sex,60,7.9,"32,559"
The Tudors,60,8.1,"62,858"
Beauty and the Beast,129,7.2,$504.01M
Desperate Housewives,45,7.5,"107,378"
Shadowhunters: The Mortal Instruments,42,6.7,"45,874"
Blended,117,6.5,$46.29M
Good Will Hunting,126,8.3,$138.43M
About Time,123,7.8,$15.32M
A Discovery of Witches,60,8.2,"18,244"
The Handmaid's Tale,109,6.0,$4.96M
Pitch Perfect,112,7.2,$65.00M
Ophelia,114,6.6,565
Twilight,122,5.2,$191.47M
"Love, Take Two",,6.1,182
The Shape of Water,123,7.3,$63.86M
One Tree Hill,60,7.7,"66,906"
Me Before You,106,7.4,$56.25M
The Ballad of Buster Scruggs,133,7.3,"88,692"
Sex and the City,30,7.1,"96,388"
Some Kind of Wonderful,95,7.1,$18.55M
The Great Gatsby,143,7.3,$144.84M
Elisa y Marcela,113,6.3,"1,085"
Big Mouth,30,8.1,"36,567"
Someone Great,92,6.2,"9,928"
Passengers,116,7.0,$100.01M
The End of the F***ing World,25,8.1,"93,815"
The O.C.,44,7.5,"75,517"
Little House on the Prairie,60,7.4,"14,663"
Hercules,93,7.3,$99.05M
Mom,30,7.2,"24,203"
The Kissing Booth,105,6.1,"44,900"
Tombstone,130,7.8,$56.51M
The Fosters,60,7.9,"22,678"
Sixteen Candles,93,7.1,$23.69M
Cinderella,105,6.9,$201.15M
Her,126,8.0,$25.57M
The Notebook,123,7.9,$81.00M
Les Mis̩rables,158,7.6,$148.81M
To All the Boys I've Loved Before,99,7.3,"63,602"
Pride & Prejudice,129,7.8,$38.41M
Werk ohne Autor,189,7.7,$1.30M
Rome,90,8.8,"141,639"
What a Girl Wants,105,5.9,$35.99M
What Men Want,117,4.9,$54.61M
Love Actually,135,7.6,$59.70M
This Is 40,134,6.2,$67.54M
West Side Story,153,7.6,$43.66M
The Space Between Us,120,6.4,$7.83M
Gavin & Stacey,29,8.0,"13,200"
The Legend of Tarzan,110,6.3,$126.64M
La vie d'Ad̬le,180,7.8,$2.20M
Will & Grace,22,7.3,"47,388"
Medici,60,7.9,"11,758"
Dawson's Creek,60,6.6,"31,846"
Wedding Crashers,119,7.0,$209.22M
Fifty Shades Freed,105,4.5,$100.41M
The Perfect Date,89,5.9,"20,269"
The Darkest Minds,104,5.7,$12.70M
Little Women,115,7.3,$50.08M
Home Again,97,5.8,$27.02M
Willow,126,7.3,$57.27M
Grease,110,7.2,$188.76M
Aggretsuko,15,8.0,"2,959"
The Girl Next Door,109,6.7,$14.59M
La La Land,128,8.0,$151.10M
"Love, Simon",110,7.6,$40.83M
Mamma Mia!,108,6.4,$144.13M
Easy A,92,7.1,$58.40M
Hart of Dixie,60,7.7,"41,169"
Brokeback Mountain,134,7.7,$83.04M
"Roswell, New Mexico",60,6.0,"5,796"
Gloria Bell,102,6.5,$5.61M
The Dreamers,115,7.2,$2.53M
A Star Is Born,139,6.3,$80.00M
Romeo + Juliet,120,6.8,$46.35M
50/50,100,7.7,$35.01M
King Kong,187,7.2,$218.08M
Eternal Sunshine of the Spotless Mind,108,8.3,$34.40M
