title,runtime,rating,profit
Avengers: Endgame,181,8.7,$832.61M
John Wick: Chapter 3 - Parabellum,131,8,$151.99M
Guardians of the Galaxy Vol. 2,136,7.7,$389.81M
Avengers: Infinity War,149,8.5,$678.82M
X-Men: Days of Future Past,132,8,$233.92M
Logan,137,8.1,$226.28M
Spider-Man: Into the Spider-Verse,117,8.5,$190.24M
Thor: Ragnarok,130,7.9,$315.06M
X: First Class,131,7.7,$146.41M
Deadpool 2,119,7.8,$324.59M
The Matrix,136,8.7,$171.48M
The Dark Knight,152,9,$534.86M
Guardians of the Galaxy,121,8.1,$333.18M
Baby Driver,113,7.6,$107.83M
Mission: Impossible - Fallout,147,7.8,$220.16M
Inception,148,8.8,$292.58M
Mad Max: Fury Road,120,8.1,$154.06M
Iron Man,126,7.9,$318.41M
The Longest Day,178,7.8,$39.10M
The Avengers,143,8.1,$623.36M
Kingsman: The Secret Service,129,7.7,$128.26M
Ghostbusters,105,7.8,$238.63M
Gladiator,155,8.5,$187.71M
Avatar,162,7.8,$760.51M
The Dark Knight Rises,164,8.4,$448.14M
Incredibles 2,118,7.7,$608.58M
Batman Begins,140,8.2,$206.85M
Dunkirk,106,7.9,$188.37M
Léon,110,8.6,$19.50M
Deadpool,108,8,$363.07M
Captain America: Civil War,147,7.8,$408.08M
Watchmen,162,7.6,$107.51M
Captain America: The Winter Soldier,136,7.8,$259.77M
Rogue One,133,7.8,$532.18M
Aliens,137,8.4,$85.16M
Terminator 2: Judgment Day,137,8.5,$204.84M
The Terminator,107,8,$38.40M
300,117,7.7,$210.61M
Raiders of the Lost Ark,115,8.5,$248.16M
Tombstone,130,7.8,$56.51M
The Revenant,156,8,$183.64M
Rush,123,8.1,$26.95M
Minority Report,145,7.6,$132.07M
Star Wars,121,8.6,$322.74M
Star Trek,127,8,$257.73M
Sicario,121,7.6,$46.89M
Star Wars: Episode VII - The Force Awakens,136,8,$936.66M
Batman,126,7.6,$251.19M
The Fifth Element,126,7.7,$63.54M
Kill Bill: Vol. 1,111,8.1,$70.10M
Edge of Tomorrow,113,7.9,$100.21M
The Fugitive,130,7.8,$183.88M
Sherlock Holmes,128,7.6,$209.03M
Pirates of the Caribbean: The Curse of the Black Pearl,143,8,$305.41M
The Incredibles,115,8,$261.44M
Kick-Ass,117,7.6,$48.07M
V for Vendetta,132,8.2,$70.51M
Predator,107,7.8,$59.74M
Indiana Jones and the Last Crusade,127,8.2,$197.17M
Oldeuboi,101,8.4,$0.71M
Die Hard,132,8.2,$83.01M
The Warriors,92,7.7,$22.49M
Taken,94,7.8,$145.00M
Hot Fuzz,121,7.9,$23.64M
Apocalypto,139,7.8,$50.87M
Casino Royale,144,8,$167.45M
District 9,112,7.9,$115.65M
Star Trek Into Darkness,132,7.7,$228.78M
First Blood,93,7.7,$47.21M
Serenity,119,7.9,$25.51M
The Magnificent Seven,128,7.8,$4.91M
Hell or High Water,102,7.6,$26.86M
How to Train Your Dragon,98,8.1,$217.58M
Dangal,161,8.5,$12.39M
The Wild Bunch,135,8,"72,325"
Indiana Jones and the Temple of Doom,118,7.6,$179.87M
Skyfall,143,7.8,$304.36M
Big Hero 6,102,7.8,$222.53M
The Last of the Mohicans,112,7.8,$75.51M
Star Wars: Episode V - The Empire Strikes Back,124,8.7,$290.48M
The Bourne Identity,119,7.9,$121.66M
Star Wars: Episode VI - Return of the Jedi,131,8.3,$309.13M
Man on Fire,146,7.7,$77.91M
How to Train Your Dragon 2,102,7.8,$177.00M
RoboCop,102,7.6,$53.42M
Kill Bill: Vol. 2,137,8,$66.21M
The Last Samurai,154,7.7,$111.11M
The Bourne Supremacy,108,7.7,$176.24M
Only the Brave,134,7.7,$18.34M
The Crow,102,7.6,$50.69M
The Hunt for Red October,135,7.6,$122.01M
The Lego Movie,100,7.8,$257.76M
Kung fu,99,7.8,$17.11M
The Count of Monte Cristo,131,7.8,$54.23M
End of Watch,109,7.6,$41.00M
The Bourne Ultimatum,115,8,$227.47M
Mad Max 2,95,7.6,$12.47M
Enter the Dragon,102,7.7,$25.00M
Kung Fu Panda,92,7.6,$215.43M
Dawn of the Planet of the Apes,130,7.6,$208.55M
Serbuan Maut,101,7.6,$4.11M
Salinui chueok,131,8.1,$0.01M
Bonnie and Clyde,111,7.8,"94,298"
Bajrangi Bhaijaan,163,8,$8.18M
Grindhouse,191,7.6,$25.03M
Wo hu cang long,120,7.9,$128.08M
Kiss Kiss Bang Bang,103,7.6,$4.24M
Ang-ma-reul bo-at-da,142,7.8,$0.13M
The Boondock Saints,108,7.8,$0.03M
Lethal Weapon,109,7.6,$65.21M
Die Hard: With a Vengeance,128,7.6,$100.01M
Eastern Promises,100,7.6,$17.11M
Ying xiong,107,7.9,$53.71M
Kôkaku Kidôtai,83,8,$0.52M
Goldfinger,110,7.7,$51.08M
3:10 to Yuma,122,7.7,$53.61M
The Dirty Dozen,150,7.8,$45.30M
Rise of the Planet of the Apes,105,7.6,$176.76M
Dirty Harry,102,7.8,"1,32,326"
Uri: The Surgical Strike,138,8.6,$4.19M
Serbuan Maut 2: Berandal,150,8,$2.63M
Gangs of Wasseypur,321,8.2,"69,247"
Yip Man,106,8,"1,96,381"
Forbidden Planet,98,7.6,$3.00M
Red River,133,7.8,"25,534"
Kubo and the Two Strings,101,7.8,$48.02M
Star Trek II: The Wrath of Khan,113,7.7,$78.91M
The Iron Giant,86,8,$23.16M
Ran,162,8.2,$3.52M
Rio Bravo,141,8,$12.54M
The French Connection,104,7.8,"99,610"
Where Eagles Dare,158,7.7,"47,518"
The Guns of Navarone,158,7.6,$28.90M
Midnight Run,126,7.6,$38.41M
High Noon,85,8,$9.45M
Bahubali: The Beginning,159,8.1,$6.74M
Ajeossi,119,7.8,$0.01M
Huo yuanjia,104,7.7,$24.63M
Yôjinbô,110,8.3,"98,609"
Chugyeogja,125,7.9,"49,754"
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",90,8.2,"27,380"
Batman: Mask of the Phantasm,76,7.9,$5.62M
Dalkomhan insaeng,120,7.6,"31,859"
The Adventures of Robin Hood,102,8,$3.98M
Tropa de Elite,115,8.1,$0.01M
Jûbê ninpûchô,94,7.9,"31,655"
Jûsan-nin no shikaku,141,7.6,$0.80M
Zui quan,111,7.6,"32,253"
Baahubali 2: The Conclusion,167,8.3,$20.19M
Boksuneun naui geot,129,7.6,$0.05M
Henry V,137,7.6,$10.16M
Baby,159,8,"48,411"
Lat sau san taam,128,7.9,"43,677"
Key Largo,100,7.9,"34,081"
Celda 211,113,7.7,"59,593"
Hera Pheri,156,8.2,"48,493"
Jui kuen II,102,7.6,$11.55M
The General,67,8.2,"71,899"
Cowboy Bebop: Tengoku no tobira,115,7.9,$1.00M
Dip huet seung hung,111,7.8,"43,181"
Haider,160,8.1,$0.90M
Tropa de Elite 2: O Inimigo Agora é Outro,115,8,$0.10M
Vampire Hunter D: Bloodlust,103,7.7,$0.15M
Taegukgi hwinalrimyeo,140,8.1,$1.11M
Sherlock Jr.,45,8.2,$0.98M
Sanjuro,96,8.1,"27,956"
Sholay,198,8.2,"46,446"
Paan Singh Tomar,135,8.2,$0.04M
Nefes: Vatan Sagolsun,128,8.1,"29,622"
