title,runtime,rating,profit
Rocketman,121,7.7,$71.68M
A Star Is Born,136,7.8,$215.29M
Bohemian Rhapsody,134,8,$216.43M
Logan,137,8.1,$226.28M
The Shining,146,8.4,$44.02M
Green Book,130,8.2,$85.08M
The Dark Knight,152,9,$534.86M
The Shawshank Redemption,142,9.3,$28.34M
Baby Driver,113,7.6,$107.83M
Pulp Fiction,154,8.9,$107.93M
The Godfather,175,9.2,$134.97M
Interstellar,169,8.6,$188.02M
The Lion King,88,8.5,$312.90M
Saving Private Ryan,169,8.6,$216.54M
Titanic,194,7.8,$659.33M
The Favourite,119,7.6,$34.24M
Inglourious Basterds,153,8.3,$120.54M
The Wolf of Wall Street,180,8.2,$116.90M
The Longest Day,178,7.8,$39.10M
A Quiet Place,90,7.6,$188.02M
Blade Runner 2049,164,8,$92.05M
The Lord of the Rings: The Fellowship of the Ring,178,8.8,$315.54M
Call Me by Your Name,132,7.9,$18.10M
Gladiator,155,8.5,$187.71M
Harry Potter and the Deathly Hallows: Part 2,130,8.1,$381.01M
Gone Girl,149,8.1,$167.77M
Django Unchained,165,8.4,$162.81M
Fight Club,139,8.8,$37.03M
The Lord of the Rings: The Return of the King,201,8.9,$377.85M
Dunkirk,106,7.9,$188.37M
Léon,110,8.6,$19.50M
Goodfellas,146,8.7,$46.84M
Good Will Hunting,126,8.3,$138.43M
The Prestige,130,8.5,$53.09M
Apocalypse Now,147,8.5,$83.47M
Forrest Gump,142,8.8,$330.25M
Schindler's List,195,8.9,$96.07M
The Hateful Eight,168,7.8,$54.12M
American Psycho,101,7.6,$15.07M
The Silence of the Lambs,118,8.6,$130.74M
The Departed,151,8.5,$132.38M
Dead Poets Society,128,8.1,$95.86M
The Notebook,123,7.9,$81.00M
The Sandlot,101,7.8,$32.42M
Searching,102,7.7,$26.02M
About Time,123,7.8,$15.32M
"Three Billboards Outside Ebbing, Missouri",115,8.2,$54.51M
Watchmen,162,7.6,$107.51M
Zodiac,157,7.7,$33.08M
Reservoir Dogs,99,8.3,$2.83M
Whiplash,106,8.5,$13.09M
Se7en,127,8.6,$100.13M
Braveheart,178,8.4,$75.60M
A Clockwork Orange,136,8.3,"6,91,160"
Room,118,8.2,$14.68M
Arrival,116,7.9,$100.55M
Moneyball,133,7.6,$75.61M
The Green Mile,189,8.6,$136.80M
Apollo 13,140,7.6,$173.84M
Jaws,124,8,$260.00M
Scarface,170,8.3,$45.60M
No Country for Old Men,122,8.1,$74.28M
The Breakfast Club,97,7.9,$45.88M
Hacksaw Ridge,139,8.1,$67.21M
American Beauty,122,8.4,$130.10M
Requiem for a Dream,102,8.3,$3.64M
The Martian,144,8,$228.43M
The Lord of the Rings: The Two Towers,179,8.7,$342.55M
Tombstone,130,7.8,$56.51M
The Revenant,156,8,$183.64M
Lawrence of Arabia,216,8.3,$44.82M
Ex Machina,108,7.7,$25.44M
Rush,123,8.1,$26.95M
12 Angry Men,96,8.9,$4.36M
Heat,170,8.2,$67.44M
Mystic River,138,8,$90.14M
Her,126,8,$25.57M
50/50,100,7.7,$35.01M
The Intouchables,112,8.5,$13.18M
La vie d'Adèle,180,7.8,$2.20M
The Imitation Game,114,8,$91.13M
The Help,146,8.1,$169.71M
Sicario,121,7.6,$46.89M
Prisoners,153,8.1,$61.00M
Stand by Me,89,8.1,$52.29M
Donnie Darko,113,8.1,$1.48M
The Grand Budapest Hotel,99,8.1,$59.10M
Wonder,113,8,$132.42M
Taxi Driver,114,8.3,$28.26M
Cast Away,143,7.8,$233.63M
The Godfather: Part II,202,9,$57.30M
The Big Short,130,7.8,$70.26M
One Flew Over the Cuckoo's Nest,133,8.7,$112.00M
Catch Me If You Can,141,8.1,$164.62M
Black Swan,108,8,$106.95M
Pan's Labyrinth,118,8.2,$37.63M
La La Land,128,8,$151.10M
The Girl with the Dragon Tattoo,158,7.8,$102.52M
Drive,100,7.8,$35.06M
Wind River,107,7.7,$33.80M
Full Metal Jacket,116,8.3,$46.36M
Butch Cassidy and the Sundance Kid,110,8.1,$102.31M
The Fugitive,130,7.8,$183.88M
American Gangster,157,7.8,$130.16M
There Will Be Blood,158,8.2,$40.22M
Fargo,98,8.1,$24.61M
Platoon,120,8.1,$138.53M
Remember the Titans,113,7.8,$115.65M
Mulholland Dr.,147,8,$7.22M
