title,runtime,rating,profit
Thor: Ragnarok,130,7.9,$315.06M
Aladdin,90,8,$217.35M
Harry Potter and the Sorcerer's Stone,152,7.6,$317.58M
Toy Story,81,8.3,$191.80M
Toy Story 3,103,8.3,$415.00M
The Lord of the Rings: The Fellowship of the Ring,178,8.8,$315.54M
Ghostbusters,105,7.8,$238.63M
Harry Potter and the Deathly Hallows: Part 2,130,8.1,$381.01M
Avatar,162,7.8,$760.51M
The Lord of the Rings: The Return of the King,201,8.9,$377.85M
The Princess Bride,98,8.1,$30.86M
About Time,123,7.8,$15.32M
Toy Story 2,92,7.9,$245.85M
The Green Mile,189,8.6,$136.80M
300,117,7.7,$210.61M
Coco,105,8.4,$209.73M
Harry Potter and the Prisoner of Azkaban,142,7.9,$249.36M
Harry Potter and the Goblet of Fire,157,7.7,$290.01M
Sen to Chihiro no kamikakushi,125,8.6,$10.06M
The Lord of the Rings: The Two Towers,179,8.7,$342.55M
Mary Poppins,139,7.8,$102.27M
Moana,107,7.6,$248.76M
Star Wars,121,8.6,$322.74M
Star Wars: Episode VII - The Force Awakens,136,8,$936.66M
Pan's Labyrinth,118,8.2,$37.63M
Inside Out,95,8.2,$356.46M
The Curious Case of Benjamin Button,166,7.8,$127.51M
The Hobbit: An Unexpected Journey,169,7.9,$303.00M
Pirates of the Caribbean: The Curse of the Black Pearl,143,8,$305.41M
Wreck-It Ralph,101,7.7,$189.42M
Kimi no na wa.,106,8.4,$5.02M
Harry Potter and the Deathly Hallows: Part 1,146,7.7,$295.98M
Isle of Dogs,101,7.9,$32.02M
The Wizard of Oz,102,8,$2.08M
"Monsters, Inc.",92,8.1,$289.92M
Big Fish,125,8,$66.26M
Tangled,100,7.8,$200.82M
Harry Potter and the Half-Blood Prince,153,7.6,$301.96M
Mulan,88,7.6,$120.62M
Stardust,127,7.7,$38.63M
The Hobbit: The Desolation of Smaug,161,7.8,$258.37M
Ratatouille,111,8,$206.45M
How to Train Your Dragon,98,8.1,$217.58M
Shrek,90,7.9,$267.67M
The Little Mermaid,83,7.6,$111.54M
Beauty and the Beast,84,8,$218.97M
Star Wars: Episode V - The Empire Strikes Back,124,8.7,$290.48M
Midnight in Paris,94,7.7,$56.82M
Monty Python and the Holy Grail,91,8.3,$1.23M
Star Wars: Episode VI - Return of the Jedi,131,8.3,$309.13M
How to Train Your Dragon 2,102,7.8,$177.00M
Willy Wonka & the Chocolate Factory,100,7.8,$4.00M
Despicable Me,95,7.7,$251.51M
Hauru no ugoku shiro,119,8.2,$4.71M
Edward Scissorhands,105,7.9,$56.36M
The Crow,102,7.6,$50.69M
The Lego Movie,100,7.8,$257.76M
Kung fu,99,7.8,$17.11M
Mononoke-hime,134,8.4,$2.38M
Coraline,100,7.7,$75.29M
Groundhog Day,101,8,$70.91M
Life of Pi,127,7.9,$124.99M
It's a Wonderful Life,130,8.6,"3,58,698"
Tonari no Totoro,86,8.2,"2,39,482"
La montaña sagrada,114,7.9,$0.06M
Wo hu cang long,120,7.9,$128.08M
Who Framed Roger Rabbit,104,7.7,$156.45M
Mr. Nobody,141,7.8,$0.00M
Gake no ue no Ponyo,101,7.7,$15.09M
Paddington 2,103,7.9,$40.44M
Snow White and the Seven Dwarfs,83,7.6,$184.93M
Being John Malkovich,113,7.8,$22.86M
Nosferatu,94,8,"80,895"
The Nightmare Before Christmas,76,8,$75.08M
The Man from Earth,87,7.9,"1,60,589"
Det sjunde inseglet,96,8.2,"1,43,856"
The Fall,117,7.9,$2.28M
Dead Man,121,7.7,$1.04M
The Secret of NIMH,82,7.6,$10.14M
PK,153,8.2,$10.62M
Kubo and the Two Strings,101,7.8,$48.02M
Pink Floyd: The Wall,95,8,$22.24M
Der Himmel über Berlin,128,8.1,$3.21M
Tenkû no shiro Rapyuta,125,8.1,"1,28,239"
Majo no takkyûbin,103,7.9,"99,505"
Kaze no tani no Naushika,117,8.1,$0.50M
Stranger Than Fiction,113,7.6,$40.14M
Fantasia,125,7.8,$76.41M
Papurika,90,7.7,$0.88M
Le Petit Prince,108,7.7,$1.34M
Kari-gurashi no Arietti,94,7.6,$19.20M
A Little Princess,97,7.7,$10.02M
Waking Life,99,7.8,$2.89M
Song of the Sea,93,8.1,$0.86M
"South Park: Bigger, Longer & Uncut",81,7.8,$52.01M
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",90,8.2,"27,383"
Jûbê ninpûchô,94,7.9,"31,656"
La cité des enfants perdus,112,7.6,$1.51M
Ookami kodomo no Ame to Yuki,117,8.1,"31,765"
Kaguyahime no monogatari,137,8,$1.51M
Das Cabinet des Dr. Caligari,76,8.1,"49,913"
Kurenai no buta,94,7.8,"61,868"
La double vie de Véronique,98,7.8,$2.00M
Death Note,126,7.8,"26,992"
Harvey,104,8,"49,986"
The Secret of Kells,71,7.7,$0.69M
The Purple Rose of Cairo,82,7.7,$10.63M
Interstate 60: Episodes of the Road,116,7.7,"27,618"
Vampire Hunter D: Bloodlust,103,7.7,$0.15M
OMG: Oh My God!,125,8.2,$0.92M
The Muppet Christmas Carol,85,7.7,$27.28M
Lage Raho Munna Bhai,144,8.1,$2.22M
